voltage,current,temperature,pollution,conductor,insulator
435,1312,16,Low,AAAC,Glass
506,1419,55,Medium,ACSR,Composite
716,322,12,Low,ACSR,Glass
629,809,-7,Low,ACSR,Glass
594,4646,39,Low,ACCC,Glass
742,3794,39,High,ACCC,Composite
78,3620,19,Medium,ACSR,Glass
767,1202,55,Low,ACSR,Glass
405,4617,60,Medium,ACSR,Composite
377,753,55,High,AAAC,Composite
798,1014,58,Medium,ACSR,Composite
169,2284,7,Low,AAAC,Porcelain
404,900,13,High,AAAC,Composite
263,3160,38,Low,ACSR,Porcelain
365,3972,-7,Low,ACSR,Glass
509,2442,26,Low,ACSR,Glass
424,1924,47,High,AAAC,Composite
433,3687,7,Medium,ACSR,Composite
234,437,16,Low,AAAC,Porcelain
214,2374,30,Medium,AAAC,Glass
107,2393,29,Medium,AAAC,Glass
267,4554,23,Medium,ACSR,Glass
309,1333,55,High,AAAC,Composite
734,4085,6,Low,ACCC,Glass
529,1024,23,High,ACSR,Composite
514,844,-7,Low,ACSR,Glass
502,491,-6,Low,ACSR,Glass
596,4116,34,Medium,ACCC,Composite
630,3506,26,Medium,ACCC,Composite
662,2347,21,Low,ACSR,Glass
338,402,41,Low,AAAC,Glass
495,2780,26,Low,ACSR,Glass
278,3338,10,High,ACSR,Composite
169,315,45,Low,AAAC,Composite
257,2851,27,Medium,ACSR,Glass
754,1367,39,Medium,ACSR,Composite
724,3311,58,High,ACCC,Composite
445,3207,28,High,ACSR,Composite
146,3697,12,High,ACSR,Composite
770,2966,12,Low,ACSR,Glass
614,4378,39,High,ACCC,Composite
442,433,38,Medium,AAAC,Composite
219,2303,49,High,AAAC,Composite
707,2702,29,High,ACSR,Composite
636,3319,5,High,ACCC,Composite
305,1520,24,High,AAAC,Composite
439,273,47,High,AAAC,Composite
269,1204,-6,Low,AAAC,Porcelain
676,129,13,High,ACSR,Composite
415,531,46,High,AAAC,Composite
753,3787,53,Medium,ACCC,Composite
208,1091,59,Medium,AAAC,Glass
254,911,22,Low,AAAC,Porcelain
337,735,36,Low,AAAC,Glass
597,1718,7,Low,ACSR,Glass
365,3244,31,High,ACSR,Composite
491,2318,-2,Medium,ACSR,Composite
111,3133,20,Medium,ACSR,Glass
160,4831,33,High,ACSR,Composite
129,2276,47,Low,AAAC,Composite
478,2964,39,High,ACSR,Composite
708,3958,-5,Medium,ACCC,Composite
74,208,41,High,AAAC,Composite
524,367,40,Low,ACSR,Glass
780,4223,15,High,ACCC,Composite
474,208,29,High,AAAC,Composite
535,3145,38,Medium,ACCC,Composite
571,3586,2,Low,ACCC,Glass
751,4511,39,Low,ACCC,Glass
138,4400,23,High,ACSR,Composite
149,3416,21,Low,ACSR,Porcelain
124,3790,44,Medium,ACSR,Glass
86,2670,-4,Low,ACSR,Porcelain
523,2031,40,Medium,ACSR,Composite
222,314,54,Medium,AAAC,Glass
394,3741,-8,Medium,ACSR,Glass
638,1753,-8,Low,ACSR,Glass
641,704,59,Medium,ACSR,Composite
745,1186,20,High,ACSR,Composite
268,3564,29,Low,ACSR,Porcelain
706,1091,2,High,ACSR,Composite
171,2598,27,High,ACSR,Composite
187,2666,-9,Low,ACSR,Porcelain
383,2537,29,Low,ACSR,Glass
247,4614,21,Medium,ACSR,Glass
680,3390,6,Low,ACCC,Glass
381,2559,-1,High,ACSR,Composite
690,4986,16,Medium,ACCC,Composite
471,1005,49,Low,AAAC,Glass
135,3993,-6,Low,ACSR,Porcelain
225,882,9,Medium,AAAC,Glass
305,4974,6,Medium,ACSR,Glass
588,1946,23,Medium,ACSR,Composite
203,3670,31,Medium,ACSR,Glass
560,828,59,Low,ACSR,Glass
744,1035,15,Medium,ACSR,Composite
312,2574,-3,High,ACSR,Composite
608,3620,27,High,ACCC,Composite
589,447,-2,Medium,ACSR,Composite
308,995,19,Medium,AAAC,Glass
685,470,35,High,ACSR,Composite
401,3509,48,High,ACSR,Composite
487,4177,35,High,ACSR,Composite
259,497,-10,Low,AAAC,Porcelain
373,2959,16,Low,ACSR,Glass
710,2582,28,High,ACSR,Composite
571,131,16,High,ACSR,Composite
346,910,47,High,AAAC,Composite
740,617,56,Low,ACSR,Glass
504,4865,48,Medium,ACCC,Composite
780,2220,-7,Medium,ACSR,Composite
673,2275,3,High,ACSR,Composite
548,3497,32,Medium,ACCC,Composite
288,1847,5,Medium,AAAC,Glass
182,4916,49,Low,ACSR,Composite
257,2661,34,High,ACSR,Composite
683,3181,8,Low,ACCC,Glass
581,1184,27,Low,ACSR,Glass
595,612,12,High,ACSR,Composite
372,2437,47,Medium,ACSR,Glass
597,4946,40,Low,ACCC,Glass
187,3928,1,Low,ACSR,Porcelain
714,903,-3,High,ACSR,Composite
657,267,35,Low,ACSR,Glass
219,1015,15,High,AAAC,Composite
602,1347,-2,Low,ACSR,Glass
517,116,29,High,ACSR,Composite
234,3850,17,High,ACSR,Composite
124,1593,24,Medium,AAAC,Glass
366,232,3,Low,AAAC,Glass
618,2980,4,Medium,ACSR,Composite
615,2882,41,Low,ACSR,Glass
182,1141,8,Medium,AAAC,Glass
192,161,-3,Medium,AAAC,Glass
470,2545,16,High,ACSR,Composite
464,4596,19,Low,ACSR,Glass
580,496,35,High,ACSR,Composite
563,2555,13,Medium,ACSR,Composite
593,4679,25,Medium,ACCC,Composite
463,930,-8,Medium,AAAC,Composite
330,3829,26,Low,ACSR,Glass
328,2553,35,Low,ACSR,Glass
463,1660,29,High,AAAC,Composite
711,2428,54,High,ACSR,Composite
790,1016,56,High,ACSR,Composite
592,4177,41,Low,ACCC,Glass
501,896,32,Low,ACSR,Glass
425,3743,7,Low,ACSR,Glass
194,2657,25,High,ACSR,Composite
699,4313,29,High,ACCC,Composite
306,805,49,Low,AAAC,Glass
692,279,50,High,ACSR,Composite
774,2554,-4,Low,ACSR,Glass
287,4581,47,Low,ACSR,Composite
279,1337,17,Medium,AAAC,Glass
657,1759,15,Medium,ACSR,Composite
200,1922,33,Medium,AAAC,Glass
451,188,14,High,AAAC,Composite
368,3562,18,High,ACSR,Composite
352,4220,50,High,ACSR,Composite
627,2243,33,Low,ACSR,Glass
254,2269,0,High,AAAC,Composite
362,2845,24,Medium,ACSR,Glass
591,1696,8,Low,ACSR,Glass
454,1451,2,Low,AAAC,Glass
524,233,28,Medium,ACSR,Composite
326,3290,-3,Low,ACSR,Glass
769,1658,60,High,ACSR,Composite
780,3250,26,High,ACCC,Composite
178,2105,19,Low,AAAC,Porcelain
101,775,7,Low,AAAC,Porcelain
144,1062,-6,Medium,AAAC,Glass
340,492,25,Low,AAAC,Glass
343,552,-2,Medium,AAAC,Glass
739,111,22,Medium,ACSR,Composite
377,4260,21,Low,ACSR,Glass
594,3908,7,High,ACCC,Composite
269,632,-1,Medium,AAAC,Glass
82,1825,42,High,AAAC,Composite
779,2750,-9,High,ACSR,Composite
541,4709,43,High,ACCC,Composite
576,3563,58,Low,ACCC,Glass
275,3092,44,Medium,ACSR,Glass
564,2156,35,Low,ACSR,Glass
467,4105,42,Medium,ACSR,Composite
494,2918,0,Low,ACSR,Glass
143,1959,18,Low,AAAC,Porcelain
633,2608,0,High,ACSR,Composite
145,4923,48,Low,ACSR,Composite
371,1253,-3,Low,AAAC,Glass
123,1778,41,High,AAAC,Composite
595,1851,35,Medium,ACSR,Composite
273,2557,-5,Low,ACSR,Porcelain
576,3787,55,Low,ACCC,Glass
200,4888,18,High,ACSR,Composite
587,3154,24,Medium,ACCC,Composite
646,2664,21,Medium,ACSR,Composite
148,4369,36,Low,ACSR,Porcelain
686,3210,-7,Medium,ACCC,Composite
109,4995,23,Medium,ACSR,Glass
548,2091,23,High,ACSR,Composite
709,3700,37,Medium,ACCC,Composite
558,1251,58,Low,ACSR,Glass
564,2634,24,Medium,ACSR,Composite
83,4949,28,Low,ACSR,Porcelain
670,1295,38,High,ACSR,Composite
359,4530,0,Medium,ACSR,Glass
213,2448,8,High,AAAC,Composite
537,4799,0,Medium,ACCC,Composite
237,4371,20,High,ACSR,Composite
628,2825,-9,High,ACSR,Composite
596,2027,14,High,ACSR,Composite
185,608,20,High,AAAC,Composite
131,790,26,Medium,AAAC,Glass
206,1999,-2,Low,AAAC,Porcelain
511,3727,-1,Low,ACCC,Glass
571,1680,49,Low,ACSR,Glass
254,506,-10,Medium,AAAC,Glass
223,657,40,Low,AAAC,Porcelain
675,870,50,Medium,ACSR,Composite
735,3905,10,Low,ACCC,Glass
311,2595,41,High,ACSR,Composite
98,2492,43,High,AAAC,Composite
426,4143,11,Low,ACSR,Glass
395,533,52,Medium,AAAC,Glass
577,1271,54,Medium,ACSR,Composite
136,3321,46,Medium,ACSR,Glass
378,3552,-8,Medium,ACSR,Glass
793,3203,5,High,ACCC,Composite
144,4568,13,Low,ACSR,Porcelain
234,2902,42,High,ACSR,Composite
245,1149,41,Low,AAAC,Composite
693,399,-7,High,ACSR,Composite
325,363,49,Medium,AAAC,Glass
551,3950,34,Medium,ACCC,Composite
70,2891,53,Medium,ACSR,Glass
362,627,-4,Medium,AAAC,Glass
685,972,54,Low,ACSR,Glass
425,4135,58,High,ACSR,Composite
182,2925,22,High,ACSR,Composite
422,3422,45,Low,ACSR,Glass
504,3742,15,Medium,ACCC,Composite
396,2712,10,High,ACSR,Composite
590,2700,53,High,ACSR,Composite
719,2664,19,High,ACSR,Composite
253,4198,19,Low,ACSR,Porcelain
346,3020,33,Low,ACSR,Glass
576,1407,48,High,ACSR,Composite
531,4361,8,Medium,ACCC,Composite
180,4773,45,High,ACSR,Composite
301,4982,8,High,ACSR,Composite
403,2805,50,High,ACSR,Composite
587,161,-2,Medium,ACSR,Composite
264,2185,-8,High,AAAC,Composite
115,4667,52,Low,ACSR,Composite
207,4923,40,High,ACSR,Composite
593,2586,25,Low,ACSR,Glass
579,1502,48,High,ACSR,Composite
735,3301,38,Medium,ACCC,Composite
95,2758,13,Medium,ACSR,Glass
147,234,46,Low,AAAC,Composite
96,134,12,High,AAAC,Composite
398,3086,35,Low,ACSR,Glass
725,755,52,Low,ACSR,Glass
242,2043,44,Low,AAAC,Composite
435,497,9,Low,AAAC,Glass
612,1559,-6,Low,ACSR,Glass
600,1210,36,High,ACSR,Composite
171,3784,55,Medium,ACSR,Glass
162,1539,44,Low,AAAC,Composite
295,4921,48,High,ACSR,Composite
292,2165,20,High,AAAC,Composite
436,3597,11,High,ACSR,Composite
165,4282,5,Medium,ACSR,Glass
510,4414,0,Low,ACCC,Glass
533,3141,0,Low,ACCC,Glass
120,3820,43,High,ACSR,Composite
260,3316,38,Medium,ACSR,Glass
585,497,-10,Low,ACSR,Glass
489,4917,35,High,ACSR,Composite
380,470,51,Medium,AAAC,Glass
193,3628,57,High,ACSR,Composite
97,4866,-5,Low,ACSR,Porcelain
158,582,10,Low,AAAC,Porcelain
584,802,20,Low,ACSR,Glass
323,1635,37,High,AAAC,Composite
285,884,30,High,AAAC,Composite
171,4455,35,Medium,ACSR,Glass
613,4108,39,High,ACCC,Composite
481,2915,12,Low,ACSR,Glass
622,1183,25,Medium,ACSR,Composite
374,2142,21,Low,ACSR,Glass
431,2401,28,High,ACSR,Composite
586,945,44,High,ACSR,Composite
524,1679,31,High,ACSR,Composite
664,4926,21,Low,ACCC,Glass
435,122,-6,Low,AAAC,Glass
396,557,-10,Medium,AAAC,Glass
754,4384,23,High,ACCC,Composite
707,248,23,High,ACSR,Composite
772,659,-3,High,ACSR,Composite
76,3694,36,Medium,ACSR,Glass
572,3056,46,Medium,ACCC,Composite
484,2866,-9,Low,ACSR,Glass
187,4886,14,Low,ACSR,Porcelain
300,2096,52,High,AAAC,Composite
396,1979,51,Low,AAAC,Glass
608,3706,3,High,ACCC,Composite
413,1621,14,High,AAAC,Composite
477,2949,-9,Low,ACSR,Glass
289,806,41,Medium,AAAC,Glass
218,2353,-3,High,AAAC,Composite
277,2464,34,High,AAAC,Composite
157,4900,49,High,ACSR,Composite
396,192,3,Medium,AAAC,Glass
532,623,-8,Low,ACSR,Glass
706,1439,0,Medium,ACSR,Composite
774,918,12,Medium,ACSR,Composite
619,4428,30,High,ACCC,Composite
293,1706,8,Medium,AAAC,Glass
259,3782,42,Low,ACSR,Composite
595,3132,33,Low,ACCC,Glass
308,2243,-4,Medium,ACSR,Glass
454,3342,42,Low,ACSR,Glass
341,1119,9,Medium,AAAC,Glass
515,2109,-2,High,ACSR,Composite
704,3228,53,Medium,ACCC,Composite
652,4420,29,Low,ACCC,Glass
639,1542,32,High,ACSR,Composite
543,4292,56,Low,ACCC,Glass
545,4135,16,Low,ACCC,Glass
353,2884,20,Medium,ACSR,Glass
763,2452,44,Low,ACSR,Glass
755,2151,45,Medium,ACSR,Composite
743,2175,35,Medium,ACSR,Composite
760,2211,-10,High,ACSR,Composite
605,683,53,Low,ACSR,Glass
395,1263,-4,Low,AAAC,Glass
535,1293,33,High,ACSR,Composite
599,3445,30,High,ACCC,Composite
532,1919,34,Medium,ACSR,Composite
485,4291,36,High,ACSR,Composite
673,4033,18,Low,ACCC,Glass
187,2745,-4,High,ACSR,Composite
373,1685,25,High,AAAC,Composite
399,1832,26,Low,AAAC,Glass
485,2022,-9,Medium,ACSR,Composite
391,3098,-8,High,ACSR,Composite
714,2934,17,Medium,ACSR,Composite
638,4213,11,Medium,ACCC,Composite
315,769,1,Low,AAAC,Glass
160,2130,26,Low,AAAC,Porcelain
361,4699,8,Medium,ACSR,Glass
249,3656,25,Low,ACSR,Porcelain
325,939,30,Low,AAAC,Glass
732,2144,22,High,ACSR,Composite
251,756,-9,High,AAAC,Composite
474,283,-5,Medium,AAAC,Composite
134,3185,-10,High,ACSR,Composite
692,1826,10,Low,ACSR,Glass
73,2738,42,High,ACSR,Composite
330,4551,2,Low,ACSR,Glass
549,3701,8,Medium,ACCC,Composite
682,2123,23,Medium,ACSR,Composite
436,1480,4,Low,AAAC,Glass
742,3906,-5,High,ACCC,Composite
148,4208,44,Medium,ACSR,Glass
711,1452,56,Medium,ACSR,Composite
276,1873,47,High,AAAC,Composite
378,2979,23,High,ACSR,Composite
669,1609,27,Low,ACSR,Glass
402,1962,35,Medium,AAAC,Composite
555,251,49,High,ACSR,Composite
468,1607,12,Medium,AAAC,Composite
704,2797,43,Medium,ACSR,Composite
256,866,-10,Low,AAAC,Porcelain
736,2519,-8,High,ACSR,Composite
400,3961,36,High,ACSR,Composite
587,1513,-5,Medium,ACSR,Composite
684,3477,-5,Low,ACCC,Glass
152,3134,15,Low,ACSR,Porcelain
644,911,4,Medium,ACSR,Composite
127,1321,11,Medium,AAAC,Glass
452,4458,6,High,ACSR,Composite
211,1625,-4,Low,AAAC,Porcelain
218,1670,-5,Low,AAAC,Porcelain
684,1217,-6,Low,ACSR,Glass
725,2990,48,Medium,ACSR,Composite
763,3235,58,Medium,ACCC,Composite
414,865,14,Low,AAAC,Glass
243,4225,8,Low,ACSR,Porcelain
552,2589,-9,Low,ACSR,Glass
726,669,11,Low,ACSR,Glass
312,2030,-3,Medium,ACSR,Glass
319,1193,18,Medium,AAAC,Glass
565,1846,-3,High,ACSR,Composite
606,899,42,Low,ACSR,Glass
417,1556,48,Low,AAAC,Glass
577,4157,14,Low,ACCC,Glass
78,4566,6,Medium,ACSR,Glass
624,1612,23,Medium,ACSR,Composite
216,3681,41,Low,ACSR,Composite
115,4646,53,High,ACSR,Composite
280,2109,34,Low,AAAC,Porcelain
709,4961,56,Low,ACCC,Glass
437,3987,0,High,ACSR,Composite
178,3890,52,High,ACSR,Composite
317,2505,17,Low,ACSR,Glass
406,1060,53,High,AAAC,Composite
118,1073,50,Medium,AAAC,Glass
195,4550,3,High,ACSR,Composite
258,1113,18,Medium,AAAC,Glass
656,4076,23,Medium,ACCC,Composite
122,1598,17,High,AAAC,Composite
162,4940,51,Medium,ACSR,Glass
263,4355,-9,Low,ACSR,Porcelain
712,2716,2,High,ACSR,Composite
212,801,27,High,AAAC,Composite
749,2243,42,Medium,ACSR,Composite
640,809,49,Low,ACSR,Glass
642,2200,46,Low,ACSR,Glass
360,2959,-9,High,ACSR,Composite
788,4511,33,High,ACCC,Composite
686,3338,0,Medium,ACCC,Composite
749,2643,-7,Low,ACSR,Glass
77,2912,-9,Medium,ACSR,Glass
398,4802,10,Medium,ACSR,Glass
285,3971,19,Medium,ACSR,Glass
463,780,18,Low,AAAC,Glass
407,3767,-3,Medium,ACSR,Composite
577,268,56,High,ACSR,Composite
237,601,8,Medium,AAAC,Glass
533,3691,25,High,ACCC,Composite
231,4916,31,Low,ACSR,Porcelain
764,2199,60,High,ACSR,Composite
235,1303,59,High,AAAC,Composite
629,1366,4,Low,ACSR,Glass
577,4912,53,Low,ACCC,Glass
254,2696,32,Low,ACSR,Porcelain
185,1927,33,Medium,AAAC,Glass
170,1784,21,Low,AAAC,Porcelain
739,2066,54,High,ACSR,Composite
106,2753,26,High,ACSR,Composite
742,4598,40,High,ACCC,Composite
386,4448,8,Low,ACSR,Glass
400,4939,16,Medium,ACSR,Glass
225,4786,27,Low,ACSR,Porcelain
329,3835,35,Low,ACSR,Glass
595,4144,31,High,ACCC,Composite
750,3428,37,Low,ACCC,Glass
542,2254,-3,Medium,ACSR,Composite
417,4822,47,Medium,ACSR,Composite
610,821,28,Medium,ACSR,Composite
275,2070,49,Low,AAAC,Composite
561,1096,18,High,ACSR,Composite
447,1310,1,Medium,AAAC,Composite
741,4462,41,Medium,ACCC,Composite
546,4351,19,Low,ACCC,Glass
70,4120,7,Low,ACSR,Porcelain
99,3333,19,Medium,ACSR,Glass
210,4892,19,Low,ACSR,Porcelain
416,3532,23,Medium,ACSR,Composite
648,2147,47,High,ACSR,Composite
530,356,37,High,ACSR,Composite
413,1266,5,High,AAAC,Composite
190,3067,48,Medium,ACSR,Glass
336,2059,39,Medium,ACSR,Glass
422,3241,14,High,ACSR,Composite
592,3114,42,Medium,ACCC,Composite
563,166,13,Medium,ACSR,Composite
218,3195,30,Medium,ACSR,Glass
118,993,13,Medium,AAAC,Glass
214,3119,27,High,ACSR,Composite
568,795,42,High,ACSR,Composite
515,544,-7,Medium,ACSR,Composite
284,1917,56,Medium,AAAC,Glass
690,4516,40,High,ACCC,Composite
342,1892,48,High,AAAC,Composite
517,3295,46,Low,ACCC,Glass
493,3405,16,Medium,ACSR,Composite
148,3430,47,High,ACSR,Composite
283,4813,25,High,ACSR,Composite
592,1851,0,High,ACSR,Composite
469,303,37,Medium,AAAC,Composite
355,1201,-1,Medium,AAAC,Glass
485,1738,37,Medium,AAAC,Composite
404,644,-3,Medium,AAAC,Composite
776,120,45,Low,ACSR,Glass
735,754,41,High,ACSR,Composite
484,3730,34,Medium,ACSR,Composite
272,4931,7,Medium,ACSR,Glass
751,1864,25,Medium,ACSR,Composite
761,1880,1,High,ACSR,Composite
330,4996,59,High,ACSR,Composite
101,2117,40,Medium,AAAC,Glass
438,590,-10,Medium,AAAC,Composite
553,4577,35,Medium,ACCC,Composite
324,3791,12,Low,ACSR,Glass
596,3118,-7,Medium,ACCC,Composite
88,2123,-8,High,AAAC,Composite
169,3160,29,High,ACSR,Composite
306,1260,27,High,AAAC,Composite
781,386,40,Low,ACSR,Glass
318,1792,46,Medium,AAAC,Glass
207,2480,-6,High,AAAC,Composite
720,2285,8,High,ACSR,Composite
516,1717,56,Medium,ACSR,Composite
372,2526,34,Low,ACSR,Glass
565,3838,12,High,ACCC,Composite
687,515,21,Medium,ACSR,Composite
73,363,-5,Low,AAAC,Porcelain
134,2651,39,Low,ACSR,Porcelain
767,4144,43,High,ACCC,Composite
756,2805,9,High,ACSR,Composite
640,3837,7,High,ACCC,Composite
133,179,5,Low,AAAC,Porcelain
783,3896,35,Low,ACCC,Glass
473,1361,10,High,AAAC,Composite
583,2919,17,High,ACSR,Composite
184,3972,58,High,ACSR,Composite
96,4738,-9,Medium,ACSR,Glass
583,4100,52,Medium,ACCC,Composite
548,498,18,Medium,ACSR,Composite
272,4658,9,Low,ACSR,Porcelain
734,1290,29,Medium,ACSR,Composite
644,3756,-4,High,ACCC,Composite
452,3459,-6,High,ACSR,Composite
477,1104,38,High,AAAC,Composite
435,1955,44,High,AAAC,Composite
418,4365,0,High,ACSR,Composite
401,2616,-7,Low,ACSR,Glass
354,3055,11,High,ACSR,Composite
205,1798,18,Low,AAAC,Porcelain
365,1943,-2,Low,AAAC,Glass
78,4814,50,High,ACSR,Composite
729,2499,35,Low,ACSR,Glass
493,1238,6,Low,AAAC,Glass
465,3389,32,Low,ACSR,Glass
174,1057,-6,Medium,AAAC,Glass
550,3885,24,High,ACCC,Composite
421,3532,9,Low,ACSR,Glass
214,250,35,Medium,AAAC,Glass
781,4920,57,Low,ACCC,Glass
372,4468,54,Low,ACSR,Glass
598,3644,-10,Low,ACCC,Glass
125,2596,15,Medium,ACSR,Glass
500,4320,29,High,ACSR,Composite
86,2225,-4,High,AAAC,Composite
447,4729,5,Medium,ACSR,Composite
310,2930,44,High,ACSR,Composite
138,4567,55,High,ACSR,Composite
514,2722,18,Low,ACSR,Glass
141,517,7,Low,AAAC,Porcelain
763,2752,58,High,ACSR,Composite
655,2233,6,Low,ACSR,Glass
455,170,11,Low,AAAC,Glass
642,3478,19,Medium,ACCC,Composite
407,2893,21,Medium,ACSR,Composite
355,4459,35,High,ACSR,Composite
633,3145,15,Low,ACCC,Glass
396,3428,28,Medium,ACSR,Glass
324,4284,11,Low,ACSR,Glass
491,3088,20,High,ACSR,Composite
767,3730,58,Medium,ACCC,Composite
71,3811,1,Low,ACSR,Porcelain
71,4667,5,Medium,ACSR,Glass
256,2466,1,Medium,AAAC,Glass
213,845,47,Low,AAAC,Composite
470,4702,34,High,ACSR,Composite
323,3883,25,Low,ACSR,Glass
795,4837,52,Medium,ACCC,Composite
544,4291,19,Low,ACCC,Glass
155,1850,19,Low,AAAC,Porcelain
75,3157,40,Low,ACSR,Porcelain
152,4678,-7,Low,ACSR,Porcelain
216,703,-3,Low,AAAC,Porcelain
690,2615,30,Medium,ACSR,Composite
95,740,28,Medium,AAAC,Glass
193,525,45,Low,AAAC,Composite
143,4139,3,Medium,ACSR,Glass
486,2126,47,High,ACSR,Composite
120,1593,53,High,AAAC,Composite
545,3546,-1,Low,ACCC,Glass
370,2884,33,Medium,ACSR,Glass
611,955,15,Low,ACSR,Glass
170,1783,8,Medium,AAAC,Glass
237,1284,45,Medium,AAAC,Glass
564,2748,38,Medium,ACSR,Composite
87,4956,43,Low,ACSR,Composite
352,2823,1,Low,ACSR,Glass
456,3371,28,High,ACSR,Composite
682,2867,41,Low,ACSR,Glass
214,4747,27,Low,ACSR,Porcelain
337,3198,27,Medium,ACSR,Glass
364,3600,42,High,ACSR,Composite
237,4269,25,Low,ACSR,Porcelain
112,3579,58,Low,ACSR,Composite
691,3202,-10,High,ACCC,Composite
272,374,14,Medium,AAAC,Glass
518,923,18,Medium,ACSR,Composite
460,3073,3,Low,ACSR,Glass
366,3132,48,Low,ACSR,Glass
773,3516,2,High,ACCC,Composite
741,2010,24,Medium,ACSR,Composite
241,3097,41,Medium,ACSR,Glass
175,1592,19,High,AAAC,Composite
749,1423,24,High,ACSR,Composite
267,4005,1,Low,ACSR,Porcelain
233,4767,2,Medium,ACSR,Glass
679,302,25,Low,ACSR,Glass
151,2748,19,Medium,ACSR,Glass
719,2628,9,Low,ACSR,Glass
790,2252,37,High,ACSR,Composite
116,3774,1,High,ACSR,Composite
177,817,58,Medium,AAAC,Glass
528,3994,8,Low,ACCC,Glass
507,1186,11,Medium,ACSR,Composite
336,4300,57,High,ACSR,Composite
642,4770,0,Low,ACCC,Glass
409,372,13,Low,AAAC,Glass
248,1236,2,Low,AAAC,Porcelain
568,3407,9,Medium,ACCC,Composite
75,465,54,Low,AAAC,Composite
559,4657,6,High,ACCC,Composite
299,1585,12,High,AAAC,Composite
363,4563,-8,Low,ACSR,Glass
309,1708,39,High,AAAC,Composite
574,3912,55,High,ACCC,Composite
416,3432,60,Low,ACSR,Glass
332,835,44,Medium,AAAC,Glass
695,2540,-7,High,ACSR,Composite
721,1231,44,Low,ACSR,Glass
266,551,55,Low,AAAC,Composite
304,2598,28,Low,ACSR,Glass
399,3210,41,High,ACSR,Composite
480,1755,52,Low,AAAC,Glass
549,833,-5,High,ACSR,Composite
502,3400,1,High,ACCC,Composite
311,2491,-2,Medium,ACSR,Glass
73,1316,2,High,AAAC,Composite
217,1779,33,Low,AAAC,Porcelain
457,3382,2,Medium,ACSR,Composite
276,1210,43,Low,AAAC,Composite
432,1797,-4,Low,AAAC,Glass
735,3784,41,High,ACCC,Composite
635,2803,44,Low,ACSR,Glass
151,4492,30,Medium,ACSR,Glass
120,4291,34,Medium,ACSR,Glass
778,2694,4,Medium,ACSR,Composite
699,1318,40,High,ACSR,Composite
511,4002,23,Medium,ACCC,Composite
685,2807,28,Low,ACSR,Glass
369,4272,38,High,ACSR,Composite
197,1201,41,High,AAAC,Composite
486,1979,-6,High,AAAC,Composite
450,1982,11,High,AAAC,Composite
263,3733,40,Low,ACSR,Porcelain
112,4744,23,Medium,ACSR,Glass
268,1725,30,High,AAAC,Composite
326,2392,18,High,ACSR,Composite
755,2832,8,Medium,ACSR,Composite
89,4194,-7,Low,ACSR,Porcelain
752,4482,43,Medium,ACCC,Composite
405,2219,16,High,ACSR,Composite
477,1031,48,Low,AAAC,Glass
326,833,24,Medium,AAAC,Glass
351,2328,42,Low,ACSR,Glass
578,258,10,High,ACSR,Composite
151,2822,2,Medium,ACSR,Glass
495,520,26,Low,AAAC,Glass
646,3922,-8,Low,ACCC,Glass
96,1185,-5,High,AAAC,Composite
775,266,6,Medium,ACSR,Composite
668,346,42,Medium,ACSR,Composite
505,1983,24,Low,ACSR,Glass
414,3939,35,Medium,ACSR,Composite
477,1483,57,Low,AAAC,Glass
593,2497,46,High,ACSR,Composite
375,3585,14,Low,ACSR,Glass
461,524,54,High,AAAC,Composite
403,2802,-2,Low,ACSR,Glass
739,2796,31,High,ACSR,Composite
502,2133,27,Low,ACSR,Glass
769,3591,19,High,ACCC,Composite
728,3799,53,Medium,ACCC,Composite
430,2068,12,High,ACSR,Composite
178,4208,43,High,ACSR,Composite
241,2878,29,Low,ACSR,Porcelain
214,3701,15,High,ACSR,Composite
243,1131,16,Low,AAAC,Porcelain
447,1183,47,Medium,AAAC,Composite
288,4859,28,Medium,ACSR,Glass
324,655,15,Low,AAAC,Glass
254,203,-9,Low,AAAC,Porcelain
371,4642,-2,High,ACSR,Composite
443,1558,21,Low,AAAC,Glass
667,1335,10,High,ACSR,Composite
408,1350,16,High,AAAC,Composite
221,3681,57,Low,ACSR,Composite
777,1547,54,Low,ACSR,Glass
120,3168,56,Medium,ACSR,Glass
507,1874,40,High,ACSR,Composite
750,2552,32,Medium,ACSR,Composite
265,388,43,High,AAAC,Composite
468,4044,22,Low,ACSR,Glass
679,2000,-10,High,ACSR,Composite
728,4962,2,Low,ACCC,Glass
688,154,1,Low,ACSR,Glass
668,1956,52,Medium,ACSR,Composite
242,3484,-8,High,ACSR,Composite
514,2473,23,Low,ACSR,Glass
606,4337,23,Low,ACCC,Glass
366,319,50,High,AAAC,Composite
772,4835,39,Medium,ACCC,Composite
372,2058,1,Low,ACSR,Glass
332,1402,26,Medium,AAAC,Glass
279,2830,20,Medium,ACSR,Glass
659,970,17,Low,ACSR,Glass
705,3355,47,High,ACCC,Composite
548,1268,44,Low,ACSR,Glass
327,1117,38,High,AAAC,Composite
132,4247,-9,Low,ACSR,Porcelain
639,3306,10,Low,ACCC,Glass
198,2524,48,Low,ACSR,Composite
714,2165,42,Low,ACSR,Glass
605,1331,59,Medium,ACSR,Composite
577,2281,53,High,ACSR,Composite
276,1527,-3,Low,AAAC,Porcelain
782,4832,-5,Low,ACCC,Glass
318,442,6,High,AAAC,Composite
103,4709,4,High,ACSR,Composite
